iter,wl,overlap,ref
477,45.09,0.0075,2135.41
478,45.09,0.0075,2135.37
479,45.09,0.0075,2135.34
480,45.09,0.0075,2135.30
481,45.09,0.0075,2135.27
482,45.09,0.0075,2135.24
483,45.09,0.0075,2135.21
484,45.08,0.0075,2135.17
485,45.08,0.0075,2135.14
486,45.07,0.0075,2135.11
487,45.07,0.0075,2135.07
488,45.06,0.0075,2135.04
489,45.06,0.0075,2135.01
490,45.06,0.0075,2134.98
491,45.05,0.0075,2134.94
492,45.05,0.0075,2134.91
493,45.04,0.0075,2134.88
494,45.04,0.0075,2134.85
495,45.04,0.0075,2134.82
496,45.03,0.0075,2134.79
497,45.03,0.0074,2134.76
498,45.03,0.0074,2134.72
499,45.02,0.0074,2134.69
500,45.02,0.0074,2134.66
501,45.02,0.0074,2134.63
502,45.03,0.0074,2134.60
503,45.03,0.0074,2134.56
504,45.03,0.0074,2134.53
505,45.04,0.0074,2134.50
506,45.04,0.0074,2134.47
507,45.03,0.0074,2134.44
508,45.03,0.0074,2134.41
509,45.03,0.0074,2134.37
510,45.03,0.0074,2134.34
511,45.03,0.0074,2134.31
512,45.04,0.0074,2134.28
513,45.04,0.0074,2134.24
514,45.04,0.0074,2134.21
515,45.03,0.0074,2134.18
516,45.03,0.0074,2134.15
517,45.03,0.0074,2134.12
518,45.03,0.0073,2134.09
519,45.03,0.0074,2134.06
520,45.03,0.0073,2134.03
521,45.02,0.0073,2134.00
522,45.02,0.0073,2133.97
523,45.01,0.0073,2133.94
524,45.01,0.0073,2133.91
525,45.00,0.0073,2133.88
526,45.00,0.0073,2133.85
527,44.99,0.0073,2133.82
528,44.99,0.0073,2133.79
529,44.99,0.0073,2133.76
530,44.99,0.0073,2133.73
531,44.99,0.0073,2133.70
532,44.99,0.0073,2133.67
533,44.99,0.0073,2133.64
534,44.99,0.0073,2133.61
535,44.98,0.0073,2133.58
536,44.98,0.0073,2133.55
537,44.97,0.0073,2133.52
538,44.97,0.0073,2133.49
539,44.96,0.0072,2133.46
540,44.95,0.0072,2133.44
541,44.94,0.0072,2133.41
542,44.93,0.0072,2133.38
543,44.93,0.0072,2133.35
544,44.92,0.0072,2133.32
545,44.91,0.0072,2133.29
546,44.91,0.0072,2133.26
547,44.90,0.0072,2133.23
548,44.89,0.0072,2133.20
549,44.88,0.0072,2133.17
550,44.88,0.0072,2133.14
551,44.87,0.0072,2133.12
552,44.86,0.0072,2133.09
553,44.86,0.0072,2133.06
554,44.85,0.0072,2133.03
555,44.84,0.0072,2133.00
556,44.84,0.0072,2132.98
557,44.84,0.0072,2132.94
558,44.83,0.0072,2132.92
559,44.83,0.0071,2132.89
560,44.83,0.0071,2132.86
561,44.83,0.0071,2132.84
562,44.82,0.0071,2132.81
563,44.82,0.0071,2132.78
564,44.82,0.0071,2132.76
565,44.82,0.0071,2132.73
566,44.81,0.0071,2132.70
567,44.81,0.0071,2132.68
568,44.80,0.0071,2132.65
569,44.79,0.0071,2132.62
570,44.78,0.0071,2132.59
571,44.77,0.0071,2132.57
572,44.76,0.0071,2132.54
573,44.75,0.0071,2132.52
574,44.74,0.0071,2132.49
575,44.73,0.0071,2132.46
576,44.72,0.0071,2132.44
577,44.72,0.0071,2132.41
578,44.71,0.0071,2132.39
579,44.72,0.0071,2132.36
580,44.72,0.0070,2132.33
581,44.73,0.0070,2132.31
582,44.73,0.0070,2132.29
583,44.73,0.0070,2132.26
584,44.73,0.0070,2132.24
585,44.73,0.0070,2132.21
586,44.73,0.0070,2132.18
587,44.72,0.0070,2132.16
588,44.72,0.0070,2132.13
589,44.72,0.0070,2132.11
590,44.72,0.0070,2132.08
591,44.72,0.0070,2132.05
592,44.72,0.0070,2132.03
593,44.72,0.0070,2132.01
594,44.72,0.0070,2131.98
595,44.72,0.0070,2131.95
596,44.72,0.0070,2131.93
597,44.72,0.0070,2131.90
598,44.71,0.0069,2131.88
599,44.71,0.0069,2131.85
600,44.71,0.0069,2131.83
601,44.70,0.0069,2131.80
602,44.71,0.0069,2131.77
603,44.71,0.0069,2131.75
604,44.71,0.0069,2131.72
605,44.71,0.0069,2131.70
606,44.71,0.0069,2131.67
607,44.72,0.0069,2131.65
608,44.72,0.0069,2131.62
609,44.72,0.0069,2131.60
610,44.73,0.0069,2131.57
611,44.73,0.0069,2131.55
612,44.73,0.0069,2131.52
613,44.73,0.0069,2131.49
614,44.73,0.0069,2131.47
615,44.72,0.0069,2131.45
616,44.72,0.0068,2131.42
617,44.71,0.0068,2131.40
618,44.71,0.0068,2131.37
619,44.70,0.0068,2131.34
620,44.70,0.0068,2131.32
621,44.69,0.0068,2131.29
622,44.69,0.0068,2131.27
623,44.68,0.0068,2131.24
624,44.68,0.0068,2131.22
625,44.67,0.0068,2131.19
626,44.66,0.0068,2131.17
627,44.66,0.0068,2131.14
628,44.65,0.0068,2131.12
629,44.64,0.0068,2131.10
630,44.64,0.0068,2131.07
631,44.63,0.0068,2131.05
632,44.62,0.0068,2131.03
633,44.62,0.0068,2131.00
634,44.62,0.0067,2130.98
635,44.61,0.0067,2130.96
636,44.61,0.0067,2130.94
637,44.60,0.0067,2130.91
638,44.60,0.0067,2130.89
639,44.59,0.0067,2130.86
640,44.58,0.0067,2130.84
641,44.57,0.0067,2130.81
642,44.57,0.0067,2130.79
643,44.57,0.0067,2130.77
644,44.57,0.0067,2130.74
645,44.57,0.0067,2130.72
646,44.57,0.0067,2130.69
647,44.56,0.0067,2130.67
648,44.56,0.0067,2130.65
649,44.56,0.0067,2130.62
650,44.56,0.0067,2130.60
651,44.55,0.0066,2130.57
652,44.55,0.0066,2130.55
653,44.56,0.0066,2130.53
654,44.56,0.0066,2130.50
655,44.56,0.0066,2130.48
656,44.56,0.0066,2130.46
657,44.56,0.0066,2130.43
658,44.55,0.0066,2130.41
659,44.55,0.0066,2130.39
660,44.54,0.0066,2130.37
661,44.54,0.0066,2130.35
662,44.54,0.0066,2130.32
663,44.54,0.0066,2130.30
664,44.54,0.0066,2130.28
665,44.55,0.0066,2130.25
666,44.54,0.0066,2130.23
667,44.54,0.0066,2130.21
668,44.54,0.0066,2130.18
669,44.54,0.0065,2130.16
670,44.54,0.0065,2130.14
671,44.54,0.0065,2130.12
672,44.54,0.0065,2130.10
673,44.53,0.0065,2130.08
674,44.52,0.0065,2130.05
675,44.51,0.0065,2130.03
676,44.50,0.0065,2130.01
677,44.50,0.0065,2129.99
678,44.49,0.0065,2129.96
679,44.48,0.0065,2129.94
680,44.47,0.0065,2129.92
681,44.46,0.0065,2129.89
682,44.46,0.0065,2129.87
683,44.45,0.0065,2129.85
684,44.43,0.0064,2129.82
685,44.42,0.0065,2129.80
686,44.42,0.0064,2129.78
687,44.41,0.0064,2129.75
688,44.41,0.0064,2129.73
689,44.41,0.0064,2129.71
690,44.40,0.0064,2129.69
691,44.40,0.0064,2129.67
692,44.39,0.0064,2129.65
693,44.39,0.0064,2129.63
694,44.39,0.0064,2129.61
695,44.38,0.0064,2129.59
696,44.38,0.0064,2129.57
697,44.37,0.0064,2129.55
698,44.37,0.0064,2129.53
699,44.37,0.0064,2129.51
700,44.37,0.0063,2129.49
701,44.36,0.0064,2129.47
702,44.36,0.0063,2129.45
703,44.36,0.0063,2129.43
704,44.36,0.0063,2129.41
705,44.36,0.0063,2129.39
706,44.36,0.0063,2129.36
707,44.37,0.0063,2129.34
708,44.38,0.0063,2129.32
709,44.38,0.0063,2129.30
710,44.38,0.0063,2129.28
711,44.39,0.0063,2129.25
712,44.39,0.0063,2129.23
713,44.39,0.0063,2129.21
714,44.40,0.0063,2129.19
715,44.40,0.0063,2129.17
716,44.40,0.0063,2129.15
717,44.39,0.0062,2129.13
718,44.39,0.0062,2129.10
719,44.39,0.0062,2129.08
720,44.39,0.0062,2129.06
721,44.39,0.0062,2129.04
722,44.39,0.0062,2129.02
723,44.39,0.0062,2129.00
724,44.39,0.0062,2128.98
725,44.39,0.0062,2128.96
726,44.39,0.0062,2128.94
727,44.39,0.0062,2128.92
728,44.39,0.0062,2128.90
729,44.37,0.0062,2128.87
730,44.36,0.0061,2128.85
