iter,wl,overlap,ref
366,45.57,0.0000,2051.68
367,45.55,0.0000,2051.67
368,45.54,0.0000,2051.65
369,45.52,0.0000,2051.63
370,45.50,0.0000,2051.61
371,45.48,0.0000,2051.59
372,45.45,0.0000,2051.57
373,45.43,0.0000,2051.55
374,45.41,0.0000,2051.54
375,45.39,0.0000,2051.52
376,45.37,0.0000,2051.50
377,45.35,0.0000,2051.48
378,45.33,0.0000,2051.47
379,45.32,0.0000,2051.45
380,45.30,0.0000,2051.43
381,45.29,0.0000,2051.41
382,45.28,0.0000,2051.39
383,45.27,0.0000,2051.37
384,45.26,0.0000,2051.35
385,45.24,0.0000,2051.34
386,45.23,0.0000,2051.32
387,45.21,0.0000,2051.30
388,45.20,0.0000,2051.29
389,45.18,0.0000,2051.27
390,45.16,0.0000,2051.25
391,45.14,0.0000,2051.23
392,45.12,0.0000,2051.21
393,45.10,0.0000,2051.20
394,45.08,0.0000,2051.18
395,45.06,0.0000,2051.16
396,45.03,0.0000,2051.14
397,45.02,0.0000,2051.12
398,45.00,0.0000,2051.11
399,44.98,0.0000,2051.09
400,44.96,0.0000,2051.07
401,44.94,0.0000,2051.05
402,44.93,0.0000,2051.04
403,44.91,0.0000,2051.02
404,44.90,0.0000,2051.00
405,44.88,0.0000,2050.98
406,44.87,0.0000,2050.96
407,44.85,0.0000,2050.95
408,44.83,0.0000,2050.93
409,44.82,0.0000,2050.91
410,44.80,0.0000,2050.90
411,44.78,0.0000,2050.88
412,44.76,0.0000,2050.86
413,44.74,0.0000,2050.85
414,44.72,0.0000,2050.83
415,44.70,0.0000,2050.81
416,44.68,0.0000,2050.79
417,44.66,0.0000,2050.77
418,44.64,0.0000,2050.76
419,44.62,0.0000,2050.74
420,44.60,0.0000,2050.72
421,44.59,0.0000,2050.70
422,44.57,0.0000,2050.68
423,44.55,0.0000,2050.66
424,44.53,0.0000,2050.65
425,44.51,0.0000,2050.63
426,44.49,0.0000,2050.61
427,44.48,0.0000,2050.59
428,44.46,0.0000,2050.57
429,44.45,0.0000,2050.56
430,44.43,0.0000,2050.54
431,44.42,0.0000,2050.52
432,44.41,0.0000,2050.51
433,44.39,0.0000,2050.49
434,44.37,0.0000,2050.47
435,44.36,0.0000,2050.46
436,44.34,0.0000,2050.44
437,44.32,0.0000,2050.42
438,44.30,0.0000,2050.41
439,44.28,0.0000,2050.39
440,44.26,0.0000,2050.37
441,44.24,0.0000,2050.35
442,44.22,0.0000,2050.34
443,44.20,0.0000,2050.32
444,44.18,0.0000,2050.30
445,44.16,0.0000,2050.28
446,44.15,0.0000,2050.27
447,44.13,0.0000,2050.25
448,44.11,0.0000,2050.23
449,44.09,0.0000,2050.22
450,44.07,0.0000,2050.20
451,44.05,0.0000,2050.18
452,44.03,0.0000,2050.17
453,44.01,0.0000,2050.15
454,43.99,0.0000,2050.13
455,43.97,0.0000,2050.12
456,43.95,0.0000,2050.10
457,43.93,0.0000,2050.08
458,43.91,0.0000,2050.06
459,43.89,0.0000,2050.05
460,43.88,0.0000,2050.03
461,43.86,0.0000,2050.01
462,43.84,0.0000,2050.00
463,43.83,0.0000,2049.98
464,43.81,0.0000,2049.96
465,43.79,0.0000,2049.94
466,43.77,0.0000,2049.93
467,43.75,0.0000,2049.91
468,43.72,0.0000,2049.90
469,43.70,0.0000,2049.88
470,43.68,0.0000,2049.86
471,43.66,0.0000,2049.85
472,43.64,0.0000,2049.83
473,43.62,0.0000,2049.82
474,43.59,0.0000,2049.80
475,43.57,0.0000,2049.78
476,43.55,0.0000,2049.77
477,43.53,0.0000,2049.75
478,43.50,0.0000,2049.74
479,43.49,0.0000,2049.72
480,43.47,0.0000,2049.70
481,43.45,0.0000,2049.69
482,43.44,0.0000,2049.67
483,43.42,0.0000,2049.66
484,43.41,0.0000,2049.64
485,43.40,0.0000,2049.63
486,43.39,0.0000,2049.61
487,43.37,0.0000,2049.59
488,43.36,0.0000,2049.58
489,43.34,0.0000,2049.56
490,43.33,0.0000,2049.55
491,43.31,0.0000,2049.53
492,43.29,0.0000,2049.51
493,43.28,0.0000,2049.50
494,43.26,0.0000,2049.48
495,43.25,0.0000,2049.47
496,43.23,0.0000,2049.45
497,43.21,0.0000,2049.43
498,43.19,0.0000,2049.41
499,43.17,0.0000,2049.40
500,43.16,0.0000,2049.38
501,43.14,0.0000,2049.36
502,43.12,0.0000,2049.35
503,43.10,0.0000,2049.33
504,43.08,0.0000,2049.31
505,43.06,0.0000,2049.29
506,43.04,0.0000,2049.28
507,43.02,0.0000,2049.26
508,43.00,0.0000,2049.24
509,42.98,0.0000,2049.23
510,42.96,0.0000,2049.21
511,42.94,0.0000,2049.20
512,42.93,0.0000,2049.18
513,42.91,0.0000,2049.16
514,42.89,0.0000,2049.15
515,42.87,0.0000,2049.13
516,42.85,0.0000,2049.11
517,42.83,0.0000,2049.10
518,42.81,0.0000,2049.09
519,42.79,0.0000,2049.07
520,42.77,0.0000,2049.05
521,42.75,0.0000,2049.04
522,42.74,0.0000,2049.02
523,42.72,0.0000,2049.01
524,42.70,0.0000,2048.99
525,42.68,0.0000,2048.98
526,42.66,0.0000,2048.96
527,42.65,0.0000,2048.95
528,42.64,0.0000,2048.94
529,42.63,0.0000,2048.92
530,42.61,0.0000,2048.91
531,42.60,0.0000,2048.89
532,42.58,0.0000,2048.88
533,42.57,0.0000,2048.86
534,42.56,0.0000,2048.85
535,42.54,0.0000,2048.83
536,42.52,0.0000,2048.82
537,42.51,0.0000,2048.80
538,42.49,0.0000,2048.79
539,42.47,0.0000,2048.77
540,42.46,0.0000,2048.76
541,42.44,0.0000,2048.74
542,42.42,0.0000,2048.73
543,42.41,0.0000,2048.71
544,42.39,0.0000,2048.69
545,42.37,0.0000,2048.68
546,42.36,0.0000,2048.66
547,42.34,0.0000,2048.65
548,42.32,0.0000,2048.63
549,42.30,0.0000,2048.62
550,42.28,0.0000,2048.61
551,42.26,0.0000,2048.59
552,42.24,0.0000,2048.57
553,42.22,0.0000,2048.56
554,42.21,0.0000,2048.54
555,42.19,0.0000,2048.53
556,42.18,0.0000,2048.51
557,42.17,0.0000,2048.49
558,42.15,0.0000,2048.48
559,42.13,0.0000,2048.46
560,42.12,0.0000,2048.45
561,42.10,0.0000,2048.43
562,42.08,0.0000,2048.42
563,42.06,0.0000,2048.40
564,42.05,0.0000,2048.39
565,42.03,0.0000,2048.37
566,42.01,0.0000,2048.36
567,41.99,0.0000,2048.35
568,41.98,0.0000,2048.33
569,41.96,0.0000,2048.32
570,41.94,0.0000,2048.30
571,41.93,0.0000,2048.28
572,41.91,0.0000,2048.27
573,41.89,0.0000,2048.26
574,41.87,0.0000,2048.24
575,41.85,0.0000,2048.23
576,41.83,0.0000,2048.22
577,41.81,0.0000,2048.20
578,41.79,0.0000,2048.19
579,41.77,0.0000,2048.17
580,41.75,0.0000,2048.16
581,41.74,0.0000,2048.14
582,41.73,0.0000,2048.13
583,41.72,0.0000,2048.12
584,41.70,0.0000,2048.10
585,41.69,0.0000,2048.09
586,41.69,0.0000,2048.08
587,41.68,0.0000,2048.06
588,41.67,0.0000,2048.05
589,41.67,0.0000,2048.04
590,41.66,0.0000,2048.02
591,41.65,0.0000,2048.01
592,41.64,0.0000,2047.99
593,41.63,0.0000,2047.98
594,41.62,0.0000,2047.97
595,41.62,0.0000,2047.96
596,41.61,0.0000,2047.94
597,41.59,0.0000,2047.93
598,41.58,0.0000,2047.92
599,41.57,0.0000,2047.90
600,41.56,0.0000,2047.89
601,41.54,0.0000,2047.88
602,41.53,0.0000,2047.86
603,41.51,0.0000,2047.85
604,41.50,0.0000,2047.83
605,41.48,0.0000,2047.82
606,41.46,0.0000,2047.81
607,41.45,0.0000,2047.80
608,41.43,0.0000,2047.78
609,41.42,0.0000,2047.77
610,41.41,0.0000,2047.76
611,41.39,0.0000,2047.74
612,41.38,0.0000,2047.73
613,41.36,0.0000,2047.72
614,41.34,0.0000,2047.71
615,41.33,0.0000,2047.69
616,41.31,0.0000,2047.68
617,41.29,0.0000,2047.67
618,41.28,0.0000,2047.66
619,41.26,0.0000,2047.64
620,41.25,0.0000,2047.63
621,41.23,0.0000,2047.62
622,41.22,0.0000,2047.61
623,41.20,0.0000,2047.59
624,41.19,0.0000,2047.58
625,41.17,0.0000,2047.57
626,41.16,0.0000,2047.55
627,41.14,0.0000,2047.54
628,41.13,0.0000,2047.53
629,41.11,0.0000,2047.52
630,41.10,0.0000,2047.50
631,41.08,0.0000,2047.49
632,41.06,0.0000,2047.48
633,41.04,0.0000,2047.46
634,41.02,0.0000,2047.45
635,41.00,0.0000,2047.44
636,40.99,0.0000,2047.42
637,40.97,0.0000,2047.41
638,40.95,0.0000,2047.40
639,40.93,0.0000,2047.39
640,40.91,0.0000,2047.37
641,40.89,0.0000,2047.36
642,40.87,0.0000,2047.35
643,40.85,0.0000,2047.33
644,40.83,0.0000,2047.32
645,40.82,0.0000,2047.31
646,40.80,0.0000,2047.30
647,40.78,0.0000,2047.28
648,40.76,0.0000,2047.27
649,40.75,0.0000,2047.26
650,40.73,0.0000,2047.25
651,40.72,0.0000,2047.23
652,40.72,0.0000,2047.22
653,40.71,0.0000,2047.21
654,40.70,0.0000,2047.19
655,40.69,0.0000,2047.18
656,40.68,0.0000,2047.17
657,40.67,0.0000,2047.15
658,40.67,0.0000,2047.14
659,40.66,0.0000,2047.13
660,40.65,0.0000,2047.12
661,40.64,0.0000,2047.10
662,40.64,0.0000,2047.09
663,40.63,0.0000,2047.08
664,40.62,0.0000,2047.06
665,40.61,0.0000,2047.05
666,40.60,0.0000,2047.04
667,40.59,0.0000,2047.03
668,40.58,0.0000,2047.01
669,40.57,0.0000,2047.00
670,40.56,0.0000,2046.99
671,40.55,0.0000,2046.98
672,40.53,0.0000,2046.97
673,40.52,0.0000,2046.95
674,40.51,0.0000,2046.94
675,40.50,0.0000,2046.93
676,40.49,0.0000,2046.92
677,40.48,0.0000,2046.91
678,40.47,0.0000,2046.89
679,40.46,0.0000,2046.88
680,40.45,0.0000,2046.87
681,40.44,0.0000,2046.86
682,40.43,0.0000,2046.85
683,40.42,0.0000,2046.83
684,40.41,0.0000,2046.82
685,40.40,0.0000,2046.81
686,40.39,0.0000,2046.80
687,40.38,0.0000,2046.78
688,40.37,0.0000,2046.78
689,40.36,0.0000,2046.76
690,40.35,0.0000,2046.75
691,40.34,0.0000,2046.74
692,40.32,0.0000,2046.73
693,40.31,0.0000,2046.72
694,40.30,0.0000,2046.70
695,40.29,0.0000,2046.69
696,40.28,0.0000,2046.68
697,40.27,0.0000,2046.67
698,40.26,0.0000,2046.66
699,40.24,0.0000,2046.64
700,40.23,0.0000,2046.63
701,40.22,0.0000,2046.62
702,40.21,0.0000,2046.61
703,40.20,0.0000,2046.59
704,40.18,0.0000,2046.58
705,40.17,0.0000,2046.57
706,40.15,0.0000,2046.56
707,40.14,0.0000,2046.55
708,40.12,0.0000,2046.54
709,40.10,0.0000,2046.52
710,40.09,0.0000,2046.51
711,40.08,0.0000,2046.50
712,40.07,0.0000,2046.49
713,40.06,0.0000,2046.47
714,40.05,0.0000,2046.46
715,40.03,0.0000,2046.45
716,40.03,0.0000,2046.44
717,40.02,0.0000,2046.43
718,40.02,0.0000,2046.42
719,40.01,0.0000,2046.41
720,40.01,0.0000,2046.39
721,40.01,0.0000,2046.39
722,40.00,0.0000,2046.37
723,39.99,0.0000,2046.36
724,39.98,0.0000,2046.35
725,39.97,0.0000,2046.34
726,39.96,0.0000,2046.33
727,39.94,0.0000,2046.31
728,39.93,0.0000,2046.30
729,39.92,0.0000,2046.29
730,39.90,0.0000,2046.28
731,39.89,0.0000,2046.27
732,39.87,0.0000,2046.26
733,39.86,0.0000,2046.24
734,39.84,0.0000,2046.23
735,39.83,0.0000,2046.22
736,39.81,0.0000,2046.21
737,39.80,0.0000,2046.20
738,39.79,0.0000,2046.19
739,39.77,0.0000,2046.18
740,39.76,0.0000,2046.17
741,39.74,0.0000,2046.15
742,39.73,0.0000,2046.14
743,39.71,0.0000,2046.13
744,39.70,0.0000,2046.12
745,39.68,0.0000,2046.11
746,39.66,0.0000,2046.09
747,39.65,0.0000,2046.08
748,39.63,0.0000,2046.07
749,39.61,0.0000,2046.06
750,39.60,0.0000,2046.05
751,39.59,0.0000,2046.03
752,39.58,0.0000,2046.02
753,39.57,0.0000,2046.01
754,39.56,0.0000,2046.00
755,39.55,0.0000,2045.98
756,39.53,0.0000,2045.97
757,39.53,0.0000,2045.96
758,39.52,0.0000,2045.95
759,39.52,0.0000,2045.94
760,39.51,0.0000,2045.93
761,39.51,0.0000,2045.92
762,39.50,0.0000,2045.90
763,39.50,0.0000,2045.89
764,39.49,0.0000,2045.88
765,39.48,0.0000,2045.87
766,39.47,0.0000,2045.86
767,39.46,0.0000,2045.85
768,39.45,0.0000,2045.83
769,39.44,0.0000,2045.82
770,39.43,0.0000,2045.81
771,39.42,0.0000,2045.80
772,39.40,0.0000,2045.79
773,39.39,0.0000,2045.77
774,39.38,0.0000,2045.76
775,39.37,0.0000,2045.75
776,39.36,0.0000,2045.74
777,39.35,0.0000,2045.72
778,39.34,0.0000,2045.71
779,39.33,0.0000,2045.70
780,39.32,0.0000,2045.68
781,39.31,0.0000,2045.67
782,39.30,0.0000,2045.66
783,39.29,0.0000,2045.65
784,39.27,0.0000,2045.64
785,39.26,0.0000,2045.63
786,39.25,0.0000,2045.61
787,39.23,0.0000,2045.60
788,39.22,0.0000,2045.59
789,39.21,0.0000,2045.58
790,39.19,0.0000,2045.56
791,39.18,0.0000,2045.55
792,39.16,0.0000,2045.54
793,39.15,0.0000,2045.53
794,39.14,0.0000,2045.52
795,39.12,0.0000,2045.50
796,39.11,0.0000,2045.49
797,39.10,0.0000,2045.48
798,39.08,0.0000,2045.47
799,39.07,0.0000,2045.46
800,39.06,0.0000,2045.45
801,39.05,0.0000,2045.44
802,39.04,0.0000,2045.43
803,39.02,0.0000,2045.42
804,39.01,0.0000,2045.40
805,39.00,0.0000,2045.39
806,38.98,0.0000,2045.38
807,38.97,0.0000,2045.37
808,38.95,0.0000,2045.35
809,38.94,0.0000,2045.35
810,38.92,0.0000,2045.33
811,38.90,0.0000,2045.32
812,38.89,0.0000,2045.31
813,38.87,0.0000,2045.30
814,38.86,0.0000,2045.29
815,38.84,0.0000,2045.27
816,38.82,0.0000,2045.26
817,38.81,0.0000,2045.25
818,38.80,0.0000,2045.24
819,38.79,0.0000,2045.23
820,38.78,0.0000,2045.22
821,38.77,0.0000,2045.20
822,38.76,0.0000,2045.19
823,38.75,0.0000,2045.18
824,38.73,0.0000,2045.17
825,38.72,0.0000,2045.16
826,38.70,0.0000,2045.14
827,38.69,0.0000,2045.13
828,38.67,0.0000,2045.12
829,38.66,0.0000,2045.11
830,38.64,0.0000,2045.10
831,38.63,0.0000,2045.09
832,38.61,0.0000,2045.07
833,38.60,0.0000,2045.06
834,38.59,0.0000,2045.05
835,38.58,0.0000,2045.04
836,38.57,0.0000,2045.03
837,38.56,0.0000,2045.01
838,38.55,0.0000,2045.01
839,38.54,0.0000,2045.00
840,38.53,0.0000,2044.99
841,38.53,0.0000,2044.97
842,38.52,0.0000,2044.96
843,38.52,0.0000,2044.95
844,38.52,0.0000,2044.94
845,38.51,0.0000,2044.93
846,38.51,0.0000,2044.92
847,38.50,0.0000,2044.91
848,38.50,0.0000,2044.90
849,38.49,0.0000,2044.89
850,38.49,0.0000,2044.88
851,38.49,0.0000,2044.87
852,38.48,0.0000,2044.86
853,38.48,0.0000,2044.85
854,38.48,0.0000,2044.84
855,38.47,0.0000,2044.83
856,38.46,0.0000,2044.81
857,38.45,0.0000,2044.80
858,38.44,0.0000,2044.80
859,38.44,0.0000,2044.78
860,38.43,0.0000,2044.77
861,38.43,0.0000,2044.76
862,38.43,0.0000,2044.75
863,38.45,0.0000,2044.74
864,38.46,0.0000,2044.73
865,38.46,0.0000,2044.72
866,38.47,0.0000,2044.71
867,38.47,0.0000,2044.70
868,38.47,0.0000,2044.69
869,38.47,0.0000,2044.68
